"Title","URL","Time","Author","Type"
"圣经讲解创世纪第21章 Bible Genesis21","https://www.youtube.com/watch?v=qSSiFDPvtv0","617次","讲解圣经","item"
"[聽聖經學英語]中英聖經 創世紀第九章 挪亞方舟(1/4)  Genesis 9","https://www.youtube.com/watch?v=9qkeNe4FDAk","63次","[聽聖經學英語Listen to Bible]中英聖經","item"
"創世記19章/陪你讀聖經《祂愛你，所以拉著你往前走》","https://www.youtube.com/watch?v=639zeUB3QxU","7731次","JAM愛的影響力","item"
"圣经讲解创世纪第29章 Bible Genesis29","https://www.youtube.com/watch?v=qAQO5F8bS74","805次","讲解圣经","item"
"聖經簡報站：創世記1章(下)-2章(進階版)","https://www.youtube.com/watch?v=J5yfaGVHU8w","2.2萬次","BiblePoint .net","item"
"[聽聖經學英語]中英聖經 創世紀第五章 從亞當到挪亞 Genesis 5","https://www.youtube.com/watch?v=ZcIy86ot6eY","104次","[聽聖經學英語Listen to Bible]中英聖經","item"
"圣经讲解创世纪第15章 Bible Genesis15","https://www.youtube.com/watch?v=Kj5tg_3BN8Y","1144次","讲解圣经","item"
"聖經簡報站：創世記2章(初信版)","https://www.youtube.com/watch?v=32xGvygfMkI","3404次","BiblePoint .net","item"
"創世記  第一課  (Genesis Lesson 1 - Traditional Chinese)","https://www.youtube.com/watch?v=0uEMaf_6EPA","5798次","World Video Bible School (WVBS)","item"
"聖經的由來與成書史","https://www.youtube.com/watch?v=grOhlGrgPTU","1.4萬次","jasonmel","item"
"[聽聖經學英語]中英聖經 創世紀第十八章  亞伯拉罕為所多瑪祈求  Genesis 18","https://www.youtube.com/watch?v=AZiFYYalFl4","43次","[聽聖經學英語Listen to Bible]中英聖經","item"
"[聽聖經學英語]中英聖經 創世紀第八章 挪亞方舟(3/4)  Genesis 8","https://www.youtube.com/watch?v=K0GiMPqOmWU","88次","[聽聖經學英語Listen to Bible]中英聖經","item"
"[聽聖經學英語]中英聖經 創世紀第六章 挪亞方舟(1/4)  Genesis 6","https://www.youtube.com/watch?v=kzrT2QblVxI","96次","[聽聖經學英語Listen to Bible]中英聖經","item"
"圣经讲解创世纪第38章 Bible Genesis38","https://www.youtube.com/watch?v=XgHeQcf8TYI","944次","讲解圣经","item"
"圣经故事（1－2／10）","https://www.youtube.com/watch?v=883BgL8uXW0","3.3萬次","Shirley Cat","item"
"圣经讲解创世纪第33章 Bible Genesis33","https://www.youtube.com/watch?v=VfqpjN8wGgA","714次","讲解圣经","item"
